Journal,Abbreviation,Index Type,Subject,Impact Factor,JCR-zone,ISSN,Rank
Revue Europeenne des Sciences Sociales,REV EUR SCI SOC,ESCI,"SOCIAL SCIENCES, INTERDISCIPLINARY",0.1,Q4,0048-8046,20884
Sravnitelnaya Politika-Comparative Politics,SRAVN POLIT,ESCI,POLITICAL SCIENCE,0.1,Q4,2221-3279,20884
St Theresa Journal of Humanities and Social Sciences,ST THERESA J HUMANIT,ESCI,"SOCIAL SCIENCES, INTERDISCIPLINARY",0.1,Q4,2408-2120,20884
Studia Prawnicze KUL,STUD PRAWNICZE KUL,ESCI,LAW,0.1,Q4,1897-7146,20884
Tomsk State University Journal,TOMSK STATE UNIV J,ESCI,MULTIDISCIPLINARY SCIENCES,0.1,Q4,1561-7793,20884
VOPROSY PSIKHOLOGII,VOP PSIKHOL+,SSCI,"PSYCHOLOGY, EDUCATIONAL",0.1,Q4,0042-8841,20884
Acta Technica Napocensis Series-Applied Mathematics Mechanics and Engineering,ACTA TECH NAPOC SER-,ESCI,MECHANICS,0.1,Q4,1221-5872,20884
Aktualni Gynekologie a Porodnictvi,AKTUALNI GYNEKOL POR,ESCI,OBSTETRICS & GYNECOLOGY,0.1,Q4,1803-9588,20884
Analecta Politica,ANALECTA POLIT,ESCI,POLITICAL SCIENCE,0.1,Q4,2027-7458,20884
Anales de la Facultad de Medicina-Universidad de la Republica Uruguay,AN FAC MED-UNIV REPU,ESCI,"MEDICINE, GENERAL & INTERNAL",0.1,Q4,2301-1254,20884
Annals Abbasi Shaheed Hospital & Karachi Medical & Dental College,ANN ABBASI SHAHEED H,ESCI,"MEDICINE, GENERAL & INTERNAL",0.1,Q4,1563-3241,20884
ATW-INTERNATIONAL JOURNAL FOR NUCLEAR POWER,ATW-INT J NUCL POWER,SCIE,NUCLEAR SCIENCE & TECHNOLOGY,0.1,Q4,1431-5254,20884
Bibliothek Forschung und Praxis,BIBL FORSCH PRAX,ESCI,INFORMATION SCIENCE & LIBRARY SCIENCE,0.1,Q4,0341-4183,20884
BRAC-Barcelona Research Art Creation,BRAC-BARC RES ART CR,ESCI,ART,0.1,N/A,2014-8992,20884
British Journalism Review,BRIT JOURNAL REV,ESCI,COMMUNICATION,0.1,Q4,0956-4748,20884
Brussels Studies,BRUSS STUD,ESCI,URBAN STUDIES,0.1,Q4,2031-0293,20884
Bulletin de la Societe Linneenne de Lyon,B SOC LINN LYON,SCIE,BIOLOGY,0.1,Q4,2554-5280,20884
Calidad de Vida y Salud,CALID VIDA SALUD,ESCI,"PSYCHOLOGY, MULTIDISCIPLINARY",0.1,Q4,1850-6216,20884
CAPjournal,CAPJOURNAL,ESCI,ASTRONOMY & ASTROPHYSICS,0.1,Q4,1996-5621,20884
Cartaphilus,CARTAPHILUS,ESCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,1887-5238,20884
Chirurgia-Italy,CHIRURGIA-ITALY,ESCI,SURGERY,0.1,Q4,0394-9508,20884
Contabilidade Gestao e Governanca,CONTAB GEST GOV,ESCI,MANAGEMENT,0.1,Q4,1984-3925,20884
Cultura y Droga,CULT DROGA,ESCI,"SOCIAL SCIENCES, INTERDISCIPLINARY",0.1,Q4,0122-8455,20884
Derecho y Ciencias Sociales,DERECHO CIENC SOC,ESCI,LAW,0.1,Q4,1853-0982,20884
deSignis,DESIGNIS,ESCI,LINGUISTICS,0.1,Q4,1578-4223,20884
Diabetologie,DIABETOLOGIE,SCIE,ENDOCRINOLOGY & METABOLISM,0.1,Q4,2731-7447,20884
Droit et Cultures,DROIT CULT,ESCI,LAW,0.1,Q4,0247-9788,20884
Education et Francophonie,EDUC FRANCOPH,ESCI,EDUCATION & EDUCATIONAL RESEARCH,0.1,Q4,0849-1089,20884
Eleuthera,ELEUTHERA,ESCI,SOCIAL WORK,0.1,Q4,2011-4532,20884
Encrucijada Americana,ENCRUC AM,ESCI,AREA STUDIES,0.1,Q4,0719-3432,20884
