Journal,Abbreviation,Index Type,Subject,Impact Factor,JCR-zone,ISSN,Rank
CA-A CANCER JOURNAL FOR CLINICIANS,CA-CANCER J CLIN,SCIE,ONCOLOGY,685.2,Q1,0007-9235,1
NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,SCIE,CELL BIOLOGY,118.0,Q1,1471-0072,2
LANCET,LANCET,SCIE,"MEDICINE, GENERAL & INTERNAL",109.0,Q1,0140-6736,3
NATURE REVIEWS MICROBIOLOGY,NAT REV MICROBIOL,SCIE,MICROBIOLOGY,104.6,Q1,1740-1526,4
MMWR Surveillance Summaries,MMWR SURVEILL SUMM,SCIE,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",96.9,Q1,1545-8636,5
Nature Reviews Clinical Oncology,NAT REV CLIN ONCOL,SCIE,ONCOLOGY,94.6,Q1,1759-4774,6
NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,SCIE,Multiple,91.2,Q1,1474-1776,7
NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGL J MED,SCIE,"MEDICINE, GENERAL & INTERNAL",84.5,Q1,0028-4793,8
Nature Reviews Materials,NAT REV MATER,SCIE,Multiple,83.3,Q1,2058-8437,9
Signal Transduction and Targeted Therapy,SIGNAL TRANSDUCT TAR,SCIE,Multiple,81.2,Q1,2095-9907,10
ANNALS OF ONCOLOGY,ANN ONCOL,SCIE,ONCOLOGY,80.4,Q1,0923-7534,11
Nature Reviews Disease Primers,NAT REV DIS PRIMERS,SCIE,"MEDICINE, GENERAL & INTERNAL",79.8,Q1,2056-676X,12
World Psychiatry,WORLD PSYCHIATRY,"SCIE, SSCI",PSYCHIATRY,79.5,Q1,1723-8617,13
Nature Reviews Earth & Environment,NAT REV EARTH ENV,SCIE,Multiple,74.1,Q1,N/A,14
Nature Energy,NAT ENERGY,SCIE,Multiple,70.1,Q1,2058-7546,15
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-J AM MED ASSOC,SCIE,"MEDICINE, GENERAL & INTERNAL",65.4,Q1,0098-7484,16
Living Reviews in Relativity,LIVING REV RELATIV,SCIE,"PHYSICS, PARTICLES & FIELDS",64.6,Q1,2367-3613,17
CHEMICAL REVIEWS,CHEM REV,SCIE,"CHEMISTRY, MULTIDISCIPLINARY",64.2,Q1,0009-2665,18
NATURE REVIEWS CANCER,NAT REV CANCER,SCIE,ONCOLOGY,60.7,Q1,1474-175X,19
Nature Reviews Gastroenterology & Hepatology,NAT REV GASTRO HEPAT,SCIE,GASTROENTEROLOGY & HEPATOLOGY,57.5,Q1,1759-5045,20
NATURE,NATURE,SCIE,MULTIDISCIPLINARY SCIENCES,56.1,Q1,0028-0836,21
CANCER CELL,CANCER CELL,SCIE,Multiple,56.1,Q1,1535-6108,21
Annual Review of Organizational Psychology and Organizational Behavior,ANNU REV ORGAN PSYCH,SSCI,Multiple,55.9,Q1,2327-0608,23
BMJ-British Medical Journal,BMJ-BRIT MED J,SCIE,"MEDICINE, GENERAL & INTERNAL",55.1,Q1,0959-535X,24
LANCET NEUROLOGY,LANCET NEUROL,SCIE,CLINICAL NEUROLOGY,54.6,Q1,1474-4422,25
Nature Reviews Methods Primers,NAT REV METHOD PRIME,SCIE,MULTIDISCIPLINARY SCIENCES,54.2,Q1,N/A,26
eScience,ESCIENCE,SCIE,Multiple,52.9,Q1,2097-2431,27
NATURE MEDICINE,NAT MED,SCIE,Multiple,52.5,Q1,1078-8956,28
NATURE REVIEWS GENETICS,NAT REV GENET,SCIE,GENETICS & HEREDITY,51.4,Q1,1471-0056,29
MMWR Recommendations and Reports,MMWR RECOMM REP,SCIE,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",51.3,Q1,1057-5987,30
Electrochemical Energy Reviews,ELECTROCHEM ENERGY R,SCIE,ELECTROCHEMISTRY,50.7,Q1,2520-8489,31
IEEE Communications Surveys and Tutorials,IEEE COMMUN SURV TUT,SCIE,Multiple,50.6,Q1,N/A,32
Nature Reviews Chemistry,NAT REV CHEM,SCIE,"CHEMISTRY, MULTIDISCIPLINARY",50.3,Q1,N/A,33
Nature Reviews Cardiology,NAT REV CARDIOL,SCIE,CARDIAC & CARDIOVASCULAR SYSTEMS,50.2,Q1,1759-5002,34
REVIEWS OF MODERN PHYSICS,REV MOD PHYS,SCIE,"PHYSICS, MULTIDISCIPLINARY",48.9,Q1,0034-6861,35
Nature Catalysis,NAT CATAL,SCIE,"CHEMISTRY, PHYSICAL",48.3,Q1,2520-1158,36
CHEMICAL SOCIETY REVIEWS,CHEM SOC REV,SCIE,"CHEMISTRY, MULTIDISCIPLINARY",48.3,Q1,0306-0012,36
Journal of Hematology & Oncology,J HEMATOL ONCOL,SCIE,Multiple,47.8,Q1,N/A,38
SCIENCE,SCIENCE,SCIE,MULTIDISCIPLINARY SCIENCES,47.3,Q1,0036-8075,39
NATURE REVIEWS IMMUNOLOGY,NAT REV IMMUNOL,SCIE,IMMUNOLOGY,47.1,Q1,1474-1733,40
Nature Reviews Nephrology,NAT REV NEPHROL,SCIE,UROLOGY & NEPHROLOGY,46.7,Q1,1759-5061,41
Nature Reviews Physics,NAT REV PHYS,SCIE,Multiple,46.6,Q1,N/A,42
EUROPEAN HEART JOURNAL,EUR HEART J,SCIE,CARDIAC & CARDIOVASCULAR SYSTEMS,45.3,Q1,0195-668X,43
CELL,CELL,SCIE,Multiple,45.1,Q1,0092-8674,44
JOURNAL OF CLINICAL ONCOLOGY,J CLIN ONCOL,SCIE,ONCOLOGY,44.7,Q1,0732-183X,45
NATURE BIOTECHNOLOGY,NAT BIOTECHNOL,SCIE,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,44.5,Q1,1087-0156,46
iMeta,IMETA,SCIE,MICROBIOLOGY,44.4,Q1,2770-5986,47
PROGRESS IN MATERIALS SCIENCE,PROG MATER SCI,SCIE,"MATERIALS SCIENCE, MULTIDISCIPLINARY",42.9,Q1,0079-6425,48
Nature Reviews Bioengineering,NAT REV BIOENG,SCIE,Multiple,42.7,Q1,N/A,49
Nature Electronics,NAT ELECTRON,SCIE,"ENGINEERING, ELECTRICAL & ELECTRONIC",42.3,Q1,2520-1131,50
Molecular Cancer,MOL CANCER,SCIE,Multiple,42.2,Q1,N/A,51
Annual Review of Psychology,ANNU REV PSYCHOL,SCIE,Multiple,41.8,Q1,0066-4308,52
CIRCULATION,CIRCULATION,SCIE,Multiple,41.3,Q1,0009-7322,53
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,PROG ENERG COMBUST,SCIE,Multiple,41.3,Q1,0360-1285,53
JOURNAL OF HEPATOLOGY,J HEPATOL,SCIE,GASTROENTEROLOGY & HEPATOLOGY,40.1,Q1,0168-8278,55
Annual Review of Immunology,ANNU REV IMMUNOL,SCIE,IMMUNOLOGY,39.8,Q1,0732-0582,56
Innovation,INNOVATION-AMSTERDAM,ESCI,MULTIDISCIPLINARY SCIENCES,39.5,Q1,2666-6758,57
Lancet Gastroenterology & Hepatology,LANCET GASTROENTEROL,SCIE,GASTROENTEROLOGY & HEPATOLOGY,39.1,Q1,N/A,58
Nature Reviews Endocrinology,NAT REV ENDOCRINOL,SCIE,ENDOCRINOLOGY & METABOLISM,39.1,Q1,1759-5029,58
International Journal of Educational Technology in Higher Education,INT J EDUC TECHNOL H,SSCI,EDUCATION & EDUCATIONAL RESEARCH,38.7,Q1,2365-9440,60
Nano-Micro Letters,NANO-MICRO LETT,SCIE,Multiple,38.5,Q1,2311-6706,61
REVIEWS OF GEOPHYSICS,REV GEOPHYS,SCIE,GEOCHEMISTRY & GEOPHYSICS,38.5,Q1,8755-1209,61
Nature Photonics,NAT PHOTONICS,SCIE,Multiple,38.1,Q1,1749-4885,63
NATURE MATERIALS,NAT MATER,SCIE,Multiple,38.0,Q1,1476-1122,64
Nature Nanotechnology,NAT NANOTECHNOL,SCIE,Multiple,37.5,Q1,1748-3387,65
Annual Review of Astronomy and Astrophysics,ANNU REV ASTRON ASTR,SCIE,ASTRONOMY & ASTROPHYSICS,37.3,Q1,0066-4146,66
Joule,JOULE,SCIE,Multiple,37.1,Q1,2542-4351,67
Cell Metabolism,CELL METAB,SCIE,Multiple,37.0,Q1,1550-4131,68
Foundations and Trends in Machine Learning,FOUND TRENDS MACH LE,ESCI,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",36.6,Q1,1935-8237,69
Lancet Diabetes & Endocrinology,LANCET DIABETES ENDO,SCIE,ENDOCRINOLOGY & METABOLISM,36.3,Q1,2213-8587,70
Physiological Reviews,PHYSIOL REV,SCIE,PHYSIOLOGY,35.7,Q1,0031-9333,71
Nature Reviews Electrical Engineering,NAT REV ELECTR ENG,ESCI,"ENGINEERING, ELECTRICAL & ELECTRONIC",34.8,Q1,N/A,72
Lancet Respiratory Medicine,LANCET RESP MED,SCIE,Multiple,34.7,Q1,2213-2600,73
Annual Review of Pathology-Mechanisms of Disease,ANNU REV PATHOL-MECH,SCIE,PATHOLOGY,34.5,Q1,1553-4006,74
LANCET ONCOLOGY,LANCET ONCOL,SCIE,ONCOLOGY,33.7,Q1,1470-2045,75
Nature Reviews Rheumatology,NAT REV RHEUMATOL,SCIE,RHEUMATOLOGY,33.7,Q1,1759-4790,75
PROGRESS IN POLYMER SCIENCE,PROG POLYM SCI,SCIE,POLYMER SCIENCE,32.8,Q1,0079-6700,77
Molecular Plant,MOL PLANT,SCIE,Multiple,32.7,Q1,1674-2052,78
Nature Sustainability,NAT SUSTAIN,SCIE,Multiple,32.1,Q1,2398-9629,79
eLight,ELIGHT,SCIE,OPTICS,31.4,Q1,2097-1710,80
Nature Reviews Neurology,NAT REV NEUROL,SCIE,CLINICAL NEUROLOGY,31.2,Q1,1759-4758,81
CELL RESEARCH,CELL RES,SCIE,CELL BIOLOGY,31.1,Q1,1001-0602,82
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,INT J INFORM MANAGE,SSCI,INFORMATION SCIENCE & LIBRARY SCIENCE,31.0,Q1,0268-4012,83
PROCEEDINGS OF THE IEEE,P IEEE,SCIE,"ENGINEERING, ELECTRICAL & ELECTRONIC",30.9,Q1,0018-9219,84
Nature Water,NAT WATER,SCIE,Multiple,30.7,Q1,N/A,85
Immunity,IMMUNITY,SCIE,IMMUNOLOGY,30.6,Q1,1074-7613,86
Energy & Environmental Science,ENERG ENVIRON SCI,SCIE,Multiple,30.5,Q1,1754-5692,87
ACM COMPUTING SURVEYS,ACM COMPUT SURV,SCIE,"COMPUTER SCIENCE, THEORY & METHODS",30.4,Q1,0360-0300,88
Exploration,EXPLORATION-PRC,ESCI,Multiple,30.4,Q1,2766-8509,88
Advances in Optics and Photonics,ADV OPT PHOTONICS,SCIE,OPTICS,30.1,Q1,1943-8206,90
Nature Machine Intelligence,NAT MACH INTELL,SCIE,Multiple,29.8,Q1,N/A,91
Gastroenterology,GASTROENTEROLOGY,SCIE,GASTROENTEROLOGY & HEPATOLOGY,29.7,Q1,0016-5085,92
Nature Chemical Engineering,NAT CHEM ENG,ESCI,"ENGINEERING, CHEMICAL",29.7,Q1,N/A,92
Cancer Discovery,CANCER DISCOV,SCIE,ONCOLOGY,29.5,Q1,2159-8274,94
Lancet Rheumatology,LANCET RHEUMATOL,SCIE,RHEUMATOLOGY,29.5,Q1,2665-9913,94
LANCET INFECTIOUS DISEASES,LANCET INFECT DIS,SCIE,INFECTIOUS DISEASES,29.4,Q1,1473-3099,96
Living Reviews in Solar Physics,LIVING REV SOL PHYS,SCIE,ASTRONOMY & ASTROPHYSICS,29.4,Q1,2367-3648,96
EUROPEAN UROLOGY,EUR UROL,SCIE,UROLOGY & NEPHROLOGY,29.1,Q1,0302-2838,98
ADVANCED MATERIALS,ADV MATER,SCIE,Multiple,29.1,Q1,0935-9648,98
Military Medical Research,MILITARY MED RES,SCIE,"MEDICINE, GENERAL & INTERNAL",29.0,Q1,2095-7467,100
NATURE REVIEWS NEUROSCIENCE,NAT REV NEUROSCI,SCIE,NEUROSCIENCES,29.0,Q1,1471-003X,100
Annual Review of Condensed Matter Physics,ANNU REV CONDEN MA P,SCIE,"PHYSICS, CONDENSED MATTER",29.0,Q1,1947-5454,100
Cancer Communications,CANCER COMMUN,SCIE,ONCOLOGY,28.4,Q1,N/A,103
NATURE METHODS,NAT METHODS,SCIE,BIOCHEMICAL RESEARCH METHODS,28.3,Q1,1548-7091,104
Nature Cancer,NAT CANCER,SCIE,ONCOLOGY,28.0,Q1,N/A,105
Nature Metabolism,NAT METAB,SCIE,ENDOCRINOLOGY & METABOLISM,27.5,Q1,N/A,106
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,PHYS REP,SCIE,"PHYSICS, MULTIDISCIPLINARY",27.5,Q1,0370-1573,106
FUNGAL DIVERSITY,FUNGAL DIVERS,SCIE,MYCOLOGY,27.0,Q1,1560-2745,108
Nature Climate Change,NAT CLIM CHANGE,SCIE,Multiple,26.9,Q1,1758-678X,109
Opto-Electronic Science,OPTO-ELECTRON SCI,ESCI,OPTICS,26.9,Q1,2097-0382,109
Advanced Powder Materials,ADV POWDER MATER,ESCI,Multiple,26.8,Q1,N/A,111
Lancet Public Health,LANCET PUBLIC HEALTH,"SCIE, SSCI","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",26.5,Q1,2468-2667,112
NATURE IMMUNOLOGY,NAT IMMUNOL,SCIE,IMMUNOLOGY,26.5,Q1,1529-2908,112
Annual Review of Plant Biology,ANNU REV PLANT BIOL,SCIE,PLANT SCIENCES,26.4,Q1,1543-5008,114
JAMA Internal Medicine,JAMA INTERN MED,SCIE,"MEDICINE, GENERAL & INTERNAL",26.3,Q1,2168-6106,115
Nature Biomedical Engineering,NAT BIOMED ENG,SCIE,"ENGINEERING, BIOMEDICAL",26.3,Q1,2157-846X,115
Annual Review of Fluid Mechanics,ANNU REV FLUID MECH,SCIE,Multiple,26.1,Q1,0066-4189,117
COORDINATION CHEMISTRY REVIEWS,COORDIN CHEM REV,SCIE,"CHEMISTRY, INORGANIC & NUCLEAR",25.6,Q1,0010-8545,118
NATURE GENETICS,NAT GENET,SCIE,GENETICS & HEREDITY,25.5,Q1,1061-4036,119
Science Robotics,SCI ROBOT,SCIE,ROBOTICS,25.5,Q1,2470-9476,119
Lancet Digital Health,LANCET DIGIT HEALTH,SCIE,Multiple,25.5,Q1,N/A,119
Advanced Energy Materials,ADV ENERGY MATER,SCIE,Multiple,25.5,Q1,1614-6832,119
TRENDS IN CELL BIOLOGY,TRENDS CELL BIOL,SCIE,CELL BIOLOGY,25.3,Q1,0962-8924,123
Journal of the National Cancer Center,J NATL CANCER CTR,ESCI,ONCOLOGY,25.2,Q1,2667-0054,124
Environmental Chemistry Letters,ENVIRON CHEM LETT,SCIE,Multiple,25.2,Q1,1610-3653,124
International Journal of Extreme Manufacturing,INT J EXTREME MANUF,SCIE,Multiple,25.1,Q1,2631-8644,126
Nature Aging,NATURE AGING,SCIE,Multiple,25.0,Q1,N/A,127
Annual Review of Biochemistry,ANNU REV BIOCHEM,SCIE,BIOCHEMISTRY & MOLECULAR BIOLOGY,24.9,Q1,0066-4154,128
Nature Food,NAT FOOD,SCIE,FOOD SCIENCE & TECHNOLOGY,24.7,Q1,N/A,129
GUT,GUT,SCIE,GASTROENTEROLOGY & HEPATOLOGY,24.6,Q1,0017-5749,130
Nature Chemistry,NAT CHEM,SCIE,"CHEMISTRY, MULTIDISCIPLINARY",24.5,Q1,1755-4330,131
PROGRESS IN AEROSPACE SCIENCES,PROG AEROSP SCI,SCIE,"ENGINEERING, AEROSPACE",24.2,Q1,0376-0421,132
INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,INT J MACH TOOL MANU,SCIE,Multiple,24.1,Q1,0890-6955,133
Materials Today,MATER TODAY,SCIE,"MATERIALS SCIENCE, MULTIDISCIPLINARY",24.1,Q1,1369-7021,133
ANNALS OF THE RHEUMATIC DISEASES,ANN RHEUM DIS,SCIE,RHEUMATOLOGY,24.0,Q1,0003-4967,135
Light-Science & Applications,LIGHT-SCI APPL,SCIE,OPTICS,24.0,Q1,2095-5545,135
TRENDS IN PHARMACOLOGICAL SCIENCES,TRENDS PHARMACOL SCI,SCIE,PHARMACOLOGY & PHARMACY,24.0,Q1,0165-6147,135
JAMA Oncology,JAMA ONCOL,SCIE,ONCOLOGY,23.9,Q1,2374-2437,138
BLOOD,BLOOD,SCIE,HEMATOLOGY,23.9,Q1,0006-4971,138
Cellular & Molecular Immunology,CELL MOL IMMUNOL,SCIE,IMMUNOLOGY,23.9,Q1,1672-7681,138
ENDOCRINE REVIEWS,ENDOCR REV,SCIE,ENDOCRINOLOGY & METABOLISM,23.9,Q1,0163-769X,138
EUROPEAN RESPIRATORY JOURNAL,EUR RESPIR J,SCIE,RESPIRATORY SYSTEM,23.8,Q1,0903-1936,142
ADVANCES IN COLLOID AND INTERFACE SCIENCE,ADV COLLOID INTERFAC,SCIE,"CHEMISTRY, PHYSICAL",23.7,Q1,0001-8686,143
JAMA Neurology,JAMA NEUROL,SCIE,CLINICAL NEUROLOGY,23.6,Q1,2168-6149,144
Bioactive Materials,BIOACT MATER,SCIE,Multiple,23.6,Q1,N/A,144
Computers and Education: Artificial Intelligence,COMPUT EDUC-ARTIF IN,ESCI,Multiple,23.4,Q1,2666-920X,146
Journal of Thoracic Oncology,J THORAC ONCOL,SCIE,Multiple,23.3,Q1,1556-0864,147
Cell Stem Cell,CELL STEM CELL,SCIE,Multiple,23.3,Q1,1934-5909,147
Cell Host & Microbe,CELL HOST MICROBE,SCIE,Multiple,23.2,Q1,1931-3128,149
Responsive Materials,RESPONSIVE MATER,ESCI,Multiple,22.9,Q1,2834-894X,150
NATURE CELL BIOLOGY,NAT CELL BIOL,SCIE,CELL BIOLOGY,22.7,Q1,1465-7392,151
Advanced Fiber Materials,ADV FIBER MATER,SCIE,Multiple,22.6,Q1,2524-7921,152
DIABETES CARE,DIABETES CARE,SCIE,ENDOCRINOLOGY & METABOLISM,22.6,Q1,0149-5992,152
Nature Synthesis,NAT SYNTH,ESCI,"CHEMISTRY, MULTIDISCIPLINARY",22.6,Q1,N/A,152
CANCER RESEARCH,CANCER RES,SCIE,ONCOLOGY,22.6,Q1,0008-5472,152
Nano Research Energy,NANO RES ENERGY,ESCI,Multiple,22.6,Q1,2791-0091,152
Lancet Global Health,LANCET GLOB HEALTH,"SCIE, SSCI","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",22.5,Q1,2214-109X,157
Annual Review of Marine Science,ANNU REV MAR SCI,SCIE,Multiple,22.5,Q1,1941-1405,157
Interdisciplinary Materials,INTERD MATER,ESCI,Multiple,22.5,Q1,2767-4401,157
Opto-Electronic Advances,OPTO-ELECTRON ADV,SCIE,OPTICS,22.4,Q1,2096-4579,160
JACC-Journal of the American College of Cardiology,J AM COLL CARDIOL,SCIE,CARDIAC & CARDIOVASCULAR SYSTEMS,22.3,Q1,0735-1097,161
DRUG RESISTANCE UPDATES,DRUG RESIST UPDATE,SCIE,PHARMACOLOGY & PHARMACY,22.0,Q1,1368-7646,162
Nature Reviews Psychology,NAT REV PSYCHOL,SSCI,"PSYCHOLOGY, MULTIDISCIPLINARY",22.0,Q1,N/A,162
INTENSIVE CARE MEDICINE,INTENS CARE MED,SCIE,CRITICAL CARE MEDICINE,22.0,Q1,0342-4642,162
Lancet Microbe,LANCET MICROBE,SCIE,Multiple,21.9,Q1,N/A,165
KIDNEY INTERNATIONAL,KIDNEY INT,SCIE,UROLOGY & NEPHROLOGY,21.8,Q1,0085-2538,166
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,AM J RESP CRIT CARE,SCIE,Multiple,21.7,Q1,1073-449X,167
Clinical and Molecular Hepatology,CLIN MOL HEPATOL,SCIE,GASTROENTEROLOGY & HEPATOLOGY,21.7,Q1,2287-2728,167
Journal of Extracellular Vesicles,J EXTRACELL VESICLES,SCIE,CELL BIOLOGY,21.7,Q1,N/A,167
Trends in Cancer,TRENDS CANCER,SCIE,ONCOLOGY,21.6,Q1,2405-8033,170
Green Energy and Intelligent Transportation,GREEN ENERGY INTELL,SCIE,TRANSPORTATION SCIENCE & TECHNOLOGY,21.5,Q1,2097-2512,171
Carbon Neutralization,CARBON NEUTRALIZAT,ESCI,Multiple,21.5,Q1,2769-3333,171
Carbon Energy,CARBON ENERGY,SCIE,Multiple,21.4,Q1,N/A,173
TRENDS IN PLANT SCIENCE,TRENDS PLANT SCI,SCIE,PLANT SCIENCES,21.2,Q1,1360-1385,174
Lancet Psychiatry,LANCET PSYCHIAT,"SCIE, SSCI",PSYCHIATRY,21.1,Q1,2215-0366,175
MATERIALS SCIENCE & ENGINEERING R-REPORTS,MAT SCI ENG R,SCIE,Multiple,21.1,Q1,0927-796X,175
ADVANCED DRUG DELIVERY REVIEWS,ADV DRUG DELIVER REV,SCIE,PHARMACOLOGY & PHARMACY,21.0,Q1,0169-409X,177
Cyborg and Bionic Systems,CYBORG BIONIC SYST,SCIE,Multiple,20.9,Q1,N/A,178
Science Bulletin,SCI BULL,SCIE,MULTIDISCIPLINARY SCIENCES,20.7,Q1,2095-9273,179
CLINICAL MICROBIOLOGY REVIEWS,CLIN MICROBIOL REV,SCIE,MICROBIOLOGY,20.7,Q1,0893-8512,179
Nature Geoscience,NAT GEOSCI,SCIE,"GEOSCIENCES, MULTIDISCIPLINARY",20.6,Q1,1752-0894,181
Lancet Planetary Health,LANCET PLANET HEALTH,SCIE,Multiple,20.5,Q1,N/A,182
Lancet Healthy Longevity,LANCET HEALTH LONGEV,SCIE,GERIATRICS & GERONTOLOGY,20.5,Q1,2666-7568,182
Nano Materials Science,NANO MATER SCI,ESCI,Multiple,20.5,Q1,2096-6482,182
Lancet Haematology,LANCET HAEMATOL,SCIE,HEMATOLOGY,20.4,Q1,2352-3026,185
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,IEEE T PATTERN ANAL,SCIE,Multiple,20.4,Q1,0162-8828,185
EnergyChem,ENERGYCHEM,ESCI,Multiple,20.4,Q1,2589-7780,185
NATURE NEUROSCIENCE,NAT NEUROSCI,SCIE,NEUROSCIENCES,20.3,Q1,1097-6256,188
SEMINARS IN CANCER BIOLOGY,SEMIN CANCER BIOL,SCIE,ONCOLOGY,20.3,Q1,1044-579X,188
Nature Computational Science,NAT COMPUT SCI,SCIE,Multiple,20.3,Q1,N/A,188
Annual Review of Physiology,ANNU REV PHYSIOL,SCIE,PHYSIOLOGY,20.3,Q1,0066-4278,188
TRENDS IN COGNITIVE SCIENCES,TRENDS COGN SCI,SCIE,Multiple,20.3,Q1,1364-6613,188
PHARMACOLOGICAL REVIEWS,PHARMACOL REV,SCIE,PHARMACOLOGY & PHARMACY,20.3,Q1,0031-6997,188
HUMAN REPRODUCTION UPDATE,HUM REPROD UPDATE,SCIE,Multiple,20.1,Q1,1355-4786,194
Bone Research,BONE RES,SCIE,CELL & TISSUE ENGINEERING,20.1,Q1,2095-4700,194
Radiology-Artificial Intelligence,RADIOL-ARTIF INTELL,SCIE,Multiple,20.1,Q1,2638-6100,194
ASTRONOMY AND ASTROPHYSICS REVIEW,ASTRON ASTROPHYS REV,SCIE,ASTRONOMY & ASTROPHYSICS,20.1,Q1,0935-4956,194
TRENDS IN ENDOCRINOLOGY AND METABOLISM,TRENDS ENDOCRIN MET,SCIE,ENDOCRINOLOGY & METABOLISM,20.1,Q1,1043-2760,194
Mycosphere,MYCOSPHERE,SCIE,MYCOLOGY,19.9,Q1,2077-7000,199
Journal of Bioresources and Bioproducts,J BIORESOUR BIOPROD,SCIE,"MATERIALS SCIENCE, PAPER & WOOD",19.9,Q1,2097-2415,199
PSYCHOLOGICAL BULLETIN,PSYCHOL BULL,SCIE,Multiple,19.9,Q1,0033-2909,199
ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,SCIE,Multiple,19.9,Q1,1616-301X,199
Applied Catalysis B-Environment and Energy,APPL CATAL B-ENVIRON,SCIE,Multiple,19.7,Q1,0926-3373,203
Molecular Neurodegeneration,MOL NEURODEGENER,SCIE,NEUROSCIENCES,19.6,Q1,N/A,204
InfoMat,INFOMAT,SCIE,"MATERIALS SCIENCE, MULTIDISCIPLINARY",19.6,Q1,N/A,204
Advanced Photonics,ADV PHOTONICS,SCIE,OPTICS,19.5,Q1,N/A,206
Energy Storage Materials,ENERGY STORAGE MATER,SCIE,Multiple,19.3,Q1,2405-8297,207
SusMat,SUSMAT,SCIE,Multiple,19.2,Q1,2766-8479,208
Journal of Nanostructure in Chemistry,J NANOSTRUCTURE CHEM,SCIE,Multiple,19.2,Q1,2008-9244,208
Translational Neurodegeneration,TRANSL NEURODEGENER,SCIE,NEUROSCIENCES,19.1,Q1,2047-9158,210
Chem,CHEM-US,SCIE,"CHEMISTRY, MULTIDISCIPLINARY",19.1,Q1,2451-9294,210
Applied Mechanics Reviews,APPL MECH REV,SCIE,MECHANICS,19.1,Q1,0003-6900,210
JACC-Cardiovascular Imaging,JACC-CARDIOVASC IMAG,SCIE,Multiple,19.0,Q1,1936-878X,213
Annual Review of Pharmacology and Toxicology,ANNU REV PHARMACOL,SCIE,Multiple,19.0,Q1,0362-1642,213
Annual Review of Medicine,ANNU REV MED,SCIE,"MEDICINE, RESEARCH & EXPERIMENTAL",18.8,Q1,0066-4219,215
ARTIFICIAL INTELLIGENCE REVIEW,ARTIF INTELL REV,SCIE,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",18.8,Q1,0269-2821,215
Nature Microbiology,NAT MICROBIOL,SCIE,MICROBIOLOGY,18.7,Q1,2058-5276,217
eTransportation,ETRANSPORTATION,SCIE,Multiple,18.7,Q1,2590-1168,217
TRENDS IN MICROBIOLOGY,TRENDS MICROBIOL,SCIE,Multiple,18.7,Q1,0966-842X,217
Annual Review of Clinical Psychology,ANNU REV CLIN PSYCHO,SCIE,Multiple,18.6,Q1,1548-5943,220
Autophagy,AUTOPHAGY,SCIE,CELL BIOLOGY,18.6,Q1,1554-8627,220
Nature Protocols,NAT PROTOC,SCIE,BIOCHEMICAL RESEARCH METHODS,18.4,Q1,1754-2189,222
Advanced Industrial and Engineering Polymer Research,ADV IND ENG POLY RES,ESCI,Multiple,18.4,Q1,2542-5048,222
STUDIES IN MYCOLOGY,STUD MYCOL,SCIE,MYCOLOGY,18.3,Q1,0166-0616,224
IEEE-CAA Journal of Automatica Sinica,IEEE-CAA J AUTOMATIC,SCIE,AUTOMATION & CONTROL SYSTEMS,18.3,Q1,2329-9266,224
Advances in Applied Energy,ADV APPL ENERGY,ESCI,ENERGY & FUELS,18.3,Q1,2666-7924,224
Protein & Cell,PROTEIN CELL,SCIE,CELL BIOLOGY,18.2,Q1,1674-800X,227
Nature Communications,NAT COMMUN,SCIE,MULTIDISCIPLINARY SCIENCES,18.1,Q1,N/A,228
National Science Review,NATL SCI REV,SCIE,MULTIDISCIPLINARY SCIENCES,18.1,Q1,2095-5138,228
PROGRESS IN LIPID RESEARCH,PROG LIPID RES,SCIE,Multiple,18.1,Q1,0163-7827,228
TRENDS IN MOLECULAR MEDICINE,TRENDS MOL MED,SCIE,Multiple,18.1,Q1,1471-4914,228
Nature Physics,NAT PHYS,SCIE,"PHYSICS, MULTIDISCIPLINARY",18.0,Q1,1745-2473,232
JAMA Psychiatry,JAMA PSYCHIAT,"SCIE, SSCI",PSYCHIATRY,18.0,Q1,2168-622X,232
PhotoniX,PHOTONIX,SCIE,OPTICS,18.0,Q1,N/A,232
CIRCULATION RESEARCH,CIRC RES,SCIE,Multiple,18.0,Q1,0009-7330,232
